                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                0.70929,                0.53512,                 1.1226,                 0.8244,                0.87079,                0.87434,                0.67152,                0.97626,                0.62093,                 1.3554,               0.006436,               0.006436,               0.006436
                    147,                0.71076,                0.53869,                 1.1171,                 0.8637,                0.87256,                0.87721,                0.66671,                0.98117,                 0.6248,                 1.3631,              0.0064112,              0.0064112,              0.0064112
                    148,                0.70282,                0.53468,                 1.1134,                0.84871,                0.85426,                0.86906,                0.66467,                0.98163,                0.63138,                 1.3646,              0.0063865,              0.0063865,              0.0063865
                    149,                0.70476,                0.53068,                 1.1135,                0.82813,                0.87384,                0.86994,                0.67428,                0.98282,                0.62955,                 1.3663,              0.0063618,              0.0063618,              0.0063618
                    150,                0.70424,                0.53213,                 1.1135,                  0.846,                0.87796,                0.87712,                0.66922,                0.97906,                0.63716,                 1.3623,               0.006337,               0.006337,               0.006337
                    151,                0.69486,                0.52757,                 1.1102,                0.84593,                 0.8734,                 0.8821,                0.67407,                0.97284,                0.63093,                 1.3629,              0.0063122,              0.0063122,              0.0063122
                    152,                0.70866,                0.53758,                 1.1159,                0.85132,                0.87009,                0.88191,                0.67765,                0.96222,                0.62234,                 1.3529,              0.0062875,              0.0062875,              0.0062875
                    153,                0.70903,                0.53513,                 1.1164,                0.85839,                0.85877,                0.87637,                0.67811,                 0.9633,                0.61681,                 1.3534,              0.0062628,              0.0062628,              0.0062628
                    154,                0.70185,                  0.525,                 1.1138,                0.84961,                0.85871,                0.87987,                0.66806,                0.97414,                0.62604,                 1.3626,               0.006238,               0.006238,               0.006238
                    155,                  0.691,                0.51576,                 1.1078,                0.84482,                 0.8464,                0.87845,                 0.6819,                 0.9717,                0.62683,                 1.3622,              0.0062132,              0.0062132,              0.0062132
                    156,                0.68668,                0.51989,                 1.1025,                0.84507,                0.85379,                0.86929,                0.66506,                0.97131,                0.62964,                  1.361,              0.0061885,              0.0061885,              0.0061885
                    157,                0.69164,                0.51714,                 1.1059,                0.82053,                0.85814,                0.86159,                0.66533,                 0.9674,                0.62687,                 1.3582,              0.0061637,              0.0061637,              0.0061637
                    158,                0.68888,                0.52167,                 1.1047,                0.82346,                0.86606,                0.86963,                0.66853,                0.96606,                0.63254,                 1.3588,               0.006139,               0.006139,               0.006139
                    159,                0.68563,                0.51227,                 1.1018,                0.87048,                0.85056,                0.87723,                0.67601,                0.95927,                0.62489,                  1.356,              0.0061142,              0.0061142,              0.0061142
                    160,                0.68824,                0.51159,                 1.1023,                0.82524,                0.87039,                0.87249,                0.67312,                 0.9549,                0.62613,                 1.3548,              0.0060895,              0.0060895,              0.0060895
                    161,                0.69554,                0.51185,                  1.105,                0.83171,                0.86039,                0.86342,                0.66546,                0.95494,                0.62229,                 1.3528,              0.0060647,              0.0060647,              0.0060647
                    162,                0.69234,                0.51716,                 1.1046,                 0.8623,                0.84498,                0.87027,                0.66289,                0.95971,                0.61748,                 1.3551,                0.00604,                0.00604,                0.00604
                    163,                0.69015,                 0.5171,                 1.1032,                0.88437,                 0.8404,                0.87076,                0.67149,                0.95737,                0.61701,                 1.3536,              0.0060152,              0.0060152,              0.0060152
                    164,                0.69453,                0.51552,                 1.1085,                0.88378,                0.84195,                0.87248,                0.67376,                0.95818,                0.61454,                 1.3539,              0.0059905,              0.0059905,              0.0059905
                    165,                 0.6889,                0.51815,                 1.1093,                0.86819,                0.84951,                0.87121,                0.67506,                0.95854,                0.61684,                 1.3566,              0.0059658,              0.0059658,              0.0059658
                    166,                0.68381,                0.51037,                 1.1003,                0.86309,                 0.8469,                0.87355,                0.67761,                0.96623,                0.62706,                 1.3614,               0.005941,               0.005941,               0.005941
                    167,                0.68548,                0.51614,                 1.1014,                0.86321,                0.84366,                0.87526,                0.67973,                0.97024,                0.62963,                 1.3624,              0.0059163,              0.0059163,              0.0059163
                    168,                0.68728,                0.51573,                  1.102,                0.88359,                0.84137,                0.87656,                0.67902,                 0.9613,                0.62032,                  1.355,              0.0058915,              0.0058915,              0.0058915
                    169,                0.68696,                0.51155,                 1.0976,                0.88326,                0.83524,                0.87545,                0.67147,                0.96232,                0.61346,                 1.3501,              0.0058668,              0.0058668,              0.0058668
                    170,                0.67773,                0.50347,                 1.0989,                0.87203,                0.84461,                0.87333,                0.67853,                0.96408,                0.61576,                 1.3501,               0.005842,               0.005842,               0.005842
                    171,                0.68673,                0.50866,                 1.0994,                0.86815,                0.84594,                0.86342,                 0.6684,                0.96713,                0.61821,                 1.3521,              0.0058173,              0.0058173,              0.0058173
                    172,                0.68236,                0.51074,                 1.1004,                0.87506,                0.84934,                0.86794,                0.67013,                0.96846,                 0.6217,                 1.3516,              0.0057925,              0.0057925,              0.0057925
                    173,                0.67516,                0.49905,                 1.0923,                0.87776,                0.84483,                0.87467,                0.67418,                 0.9662,                0.61136,                 1.3501,              0.0057678,              0.0057678,              0.0057678
                    174,                 0.6824,                0.50002,                 1.0977,                0.87782,                0.84451,                0.87471,                0.66533,                0.97079,                0.60872,                 1.3545,               0.005743,               0.005743,               0.005743
                    175,                0.67904,                 0.5022,                 1.0973,                0.87952,                0.84179,                0.87598,                0.66683,                0.96569,                0.60784,                  1.349,              0.0057183,              0.0057183,              0.0057183
                    176,                0.68118,                0.51547,                 1.0992,                0.86915,                0.85102,                0.87514,                 0.6709,                0.96776,                0.60429,                 1.3504,              0.0056935,              0.0056935,              0.0056935
                    177,                0.67888,                0.50643,                 1.1015,                0.83763,                0.87041,                0.87544,                0.67542,                0.96604,                0.61101,                 1.3477,              0.0056688,              0.0056688,              0.0056688
                    178,                 0.6774,                0.51002,                 1.0951,                0.84984,                0.86111,                0.87713,                0.67622,                0.96748,                0.62023,                 1.3512,               0.005644,               0.005644,               0.005644
                    179,                0.66765,                0.49008,                 1.0901,                0.86595,                0.83786,                0.88057,                0.67562,                0.96427,                0.62097,                 1.3508,              0.0056193,              0.0056193,              0.0056193
                    180,                0.66079,                 0.4871,                  1.092,                0.86879,                0.84115,                0.88038,                0.67355,                0.96155,                0.61947,                 1.3501,              0.0055945,              0.0055945,              0.0055945
                    181,                0.67563,                0.49894,                 1.0902,                0.86289,                0.84441,                0.87874,                0.67574,                0.96339,                0.62538,                 1.3531,              0.0055698,              0.0055698,              0.0055698
                    182,                0.65631,                0.48213,                 1.0853,                 0.8546,                0.84873,                0.87379,                0.67292,                0.96208,                0.62913,                  1.352,               0.005545,               0.005545,               0.005545
                    183,                0.66994,                0.49851,                 1.0978,                0.83827,                0.86396,                0.87186,                0.67139,                0.95828,                0.62955,                 1.3475,              0.0055202,              0.0055202,              0.0055202
                    184,                0.66648,                 0.4903,                 1.0949,                 0.8532,                0.85815,                0.87121,                0.67445,                0.96033,                0.62796,                 1.3524,              0.0054955,              0.0054955,              0.0054955
                    185,                0.66175,                0.49618,                 1.0935,                0.85256,                0.85666,                0.87034,                0.67646,                0.96553,                0.63297,                 1.3597,              0.0054707,              0.0054707,              0.0054707
                    186,                0.66423,                0.48927,                 1.0941,                0.86244,                0.85227,                0.86922,                 0.6753,                0.96182,                 0.6296,                 1.3561,               0.005446,               0.005446,               0.005446
                    187,                0.65512,                0.48818,                 1.0884,                0.86045,                0.85781,                0.86873,                0.67081,                0.95855,                0.62149,                 1.3515,              0.0054212,              0.0054212,              0.0054212
                    188,                0.65795,                0.49447,                 1.0895,                 0.8564,                0.85862,                0.87225,                0.67502,                0.95751,                0.62556,                 1.3492,              0.0053965,              0.0053965,              0.0053965
                    189,                0.66279,                0.49592,                 1.0872,                0.85808,                0.85592,                0.87283,                0.67636,                0.95634,                 0.6256,                  1.349,              0.0053717,              0.0053717,              0.0053717
                    190,                0.66593,                0.48445,                 1.0868,                 0.8642,                 0.8531,                0.87303,                0.67832,                0.95481,                0.62624,                  1.348,               0.005347,               0.005347,               0.005347
                    191,                0.65304,                0.48534,                 1.0859,                0.85731,                0.85357,                0.87059,                0.67932,                0.95546,                0.62635,                 1.3497,              0.0053223,              0.0053223,              0.0053223
                    192,                0.65134,                0.48876,                 1.0816,                0.85472,                0.85234,                0.85844,                 0.6701,                0.95884,                0.63116,                 1.3543,              0.0052975,              0.0052975,              0.0052975
                    193,                0.65792,                0.49435,                 1.0813,                0.85891,                0.85654,                0.86265,                0.67614,                0.95831,                0.63171,                 1.3532,              0.0052727,              0.0052727,              0.0052727
                    194,                0.65152,                0.47879,                  1.081,                0.85004,                0.85324,                0.85869,                0.66831,                0.95922,                0.63083,                 1.3543,               0.005248,               0.005248,               0.005248
                    195,                0.65875,                0.48988,                 1.0844,                0.85825,                 0.8509,                0.86256,                0.67238,                0.95734,                0.62841,                 1.3515,              0.0052233,              0.0052233,              0.0052233
                    196,                0.65656,                0.47972,                 1.0852,                0.85336,                 0.8538,                0.86259,                0.66898,                0.95594,                0.62462,                   1.35,              0.0051985,              0.0051985,              0.0051985
                    197,                0.64097,                0.47258,                 1.0763,                0.85926,                0.85789,                0.86671,                0.67157,                0.95737,                0.61703,                 1.3494,              0.0051737,              0.0051737,              0.0051737
                    198,                0.64439,                 0.4734,                 1.0764,                0.86591,                0.85603,                0.87097,                0.67706,                0.96402,                0.61934,                 1.3532,               0.005149,               0.005149,               0.005149
                    199,                 0.6434,                0.46931,                 1.0803,                0.87394,                0.85453,                0.87234,                0.67448,                0.96561,                0.61273,                 1.3542,              0.0051243,              0.0051243,              0.0051243
                    200,                0.64467,                0.46865,                 1.0752,                0.86446,                0.85652,                0.86468,                0.66962,                0.96779,                0.61747,                 1.3553,              0.0050995,              0.0050995,              0.0050995
                    201,                0.65517,                0.47681,                 1.0817,                0.87511,                0.85606,                0.87415,                0.67663,                0.96664,                0.62064,                 1.3548,              0.0050747,              0.0050747,              0.0050747
                    202,                 0.6439,                0.47269,                 1.0774,                  0.878,                0.85671,                0.87727,                0.68411,                0.96478,                0.62039,                 1.3525,                0.00505,                0.00505,                0.00505
                    203,                 0.6453,                0.46584,                  1.074,                0.88199,                0.85579,                0.87568,                0.68154,                0.96662,                0.62117,                 1.3537,              0.0050253,              0.0050253,              0.0050253
                    204,                0.63504,                0.47204,                 1.0707,                0.87865,                0.85509,                0.87945,                0.68309,                0.96925,                0.62386,                 1.3568,              0.0050005,              0.0050005,              0.0050005
                    205,                0.63859,                0.46821,                 1.0757,                0.86956,                0.85775,                0.87892,                0.68309,                0.97267,                0.62227,                 1.3626,              0.0049758,              0.0049758,              0.0049758
                    206,                0.65089,                0.47609,                 1.0884,                0.86626,                0.85504,                0.87432,                0.68083,                0.97071,                0.61991,                 1.3618,               0.004951,               0.004951,               0.004951
                    207,                0.64785,                 0.4742,                 1.0818,                0.87129,                0.85077,                0.87509,                0.67975,                0.96903,                0.62189,                 1.3589,              0.0049263,              0.0049263,              0.0049263
                    208,                0.63746,                0.46619,                 1.0751,                0.87085,                0.85046,                0.87147,                0.67656,                0.96837,                0.62002,                 1.3593,              0.0049015,              0.0049015,              0.0049015
                    209,                0.64647,                0.46501,                 1.0763,                0.86064,                0.85128,                0.87213,                  0.677,                0.96761,                0.62403,                 1.3602,              0.0048768,              0.0048768,              0.0048768
                    210,                0.64226,                0.47828,                 1.0774,                0.86153,                  0.849,                0.87279,                0.67723,                0.96975,                0.62221,                  1.363,               0.004852,               0.004852,               0.004852
                    211,                 0.6313,                0.46453,                 1.0712,                0.86446,                0.84866,                0.87433,                0.68122,                0.97324,                0.62146,                  1.368,              0.0048272,              0.0048272,              0.0048272
                    212,                0.63429,                0.46873,                 1.0674,                0.85304,                0.86057,                0.87714,                0.67957,                0.97386,                0.62325,                 1.3702,              0.0048025,              0.0048025,              0.0048025
                    213,                0.62972,                0.45653,                 1.0723,                  0.854,                0.85375,                0.87325,                0.67568,                 0.9757,                0.62408,                 1.3729,              0.0047778,              0.0047778,              0.0047778
                    214,                0.63002,                0.45953,                 1.0752,                0.86106,                0.85096,                0.87324,                0.67553,                0.97458,                0.62527,                 1.3727,               0.004753,               0.004753,               0.004753
                    215,                0.63122,                0.45334,                  1.072,                0.86236,                0.85114,                0.87355,                0.67599,                0.97277,                0.62467,                 1.3723,              0.0047283,              0.0047283,              0.0047283
                    216,                0.63142,                0.45469,                 1.0727,                0.85693,                0.85243,                0.87291,                0.67371,                0.97435,                  0.627,                 1.3742,              0.0047035,              0.0047035,              0.0047035
                    217,                0.63068,                0.46156,                 1.0763,                 0.8559,                0.85161,                0.87201,                0.67155,                0.97545,                0.62519,                  1.376,              0.0046788,              0.0046788,              0.0046788
                    218,                0.62682,                0.45657,                 1.0676,                0.85413,                0.85193,                0.86963,                0.67124,                0.97497,                0.62489,                 1.3764,               0.004654,               0.004654,               0.004654
                    219,                0.62108,                0.45341,                 1.0681,                 0.8527,                0.85092,                0.86889,                0.67177,                0.97591,                0.62604,                 1.3781,              0.0046293,              0.0046293,              0.0046293
                    220,                0.62462,                0.45948,                  1.063,                0.85047,                0.85116,                0.86776,                0.67165,                0.97838,                0.62875,                 1.3806,              0.0046045,              0.0046045,              0.0046045
                    221,                0.61935,                  0.456,                 1.0666,                0.85071,                0.85152,                0.86767,                0.67252,                0.97728,                0.62923,                  1.381,              0.0045798,              0.0045798,              0.0045798
                    222,                0.62445,                0.45494,                 1.0707,                0.84778,                0.85203,                0.86889,                0.67364,                0.97588,                0.62947,                 1.3808,               0.004555,               0.004555,               0.004555
                    223,                0.61805,                0.44722,                 1.0614,                0.84935,                0.86398,                 0.8699,                 0.6732,                0.97482,                0.62843,                 1.3801,              0.0045303,              0.0045303,              0.0045303
                    224,                0.61609,                0.44574,                 1.0645,                0.84767,                0.86548,                0.86803,                0.67155,                0.97523,                0.63115,                 1.3802,              0.0045055,              0.0045055,              0.0045055
                    225,                0.61439,                0.44422,                 1.0622,                0.84619,                0.86249,                0.86871,                0.67357,                 0.9751,                0.63078,                 1.3793,              0.0044808,              0.0044808,              0.0044808
                    226,                0.62489,                0.44749,                 1.0606,                0.85551,                0.85876,                0.87194,                 0.6754,                0.97836,                0.63025,                 1.3855,               0.004456,               0.004456,               0.004456
                    227,                0.62753,                0.46402,                 1.0657,                0.85818,                0.85865,                0.87169,                0.67514,                0.97727,                0.62827,                 1.3853,              0.0044313,              0.0044313,              0.0044313
                    228,                0.62491,                0.45446,                 1.0625,                0.85942,                0.86114,                0.87246,                0.67477,                0.97725,                0.62773,                 1.3863,              0.0044065,              0.0044065,              0.0044065
                    229,                0.61765,                0.45379,                 1.0604,                0.85853,                0.86171,                0.87227,                 0.6746,                0.97765,                0.62647,                 1.3872,              0.0043818,              0.0043818,              0.0043818
                    230,                0.61803,                0.44538,                 1.0712,                0.87098,                 0.8681,                 0.8805,                0.67523,                0.97518,                0.62579,                 1.3847,               0.004357,               0.004357,               0.004357
                    231,                0.62464,                0.45739,                 1.0642,                0.87192,                0.86883,                 0.8805,                0.67503,                0.97413,                0.62486,                 1.3835,              0.0043323,              0.0043323,              0.0043323
                    232,                0.61375,                0.44716,                 1.0618,                0.86621,                0.86861,                0.88061,                0.67416,                0.97438,                0.62516,                 1.3831,              0.0043075,              0.0043075,              0.0043075
                    233,                0.61899,                0.45265,                 1.0621,                0.87088,                0.86627,                0.87822,                0.67303,                0.97391,                0.62361,                  1.383,              0.0042828,              0.0042828,              0.0042828
