                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94517,                0.88748,                 1.2796,                0.85247,                0.74236,                0.79697,                0.60044,                 1.0515,                0.81118,                 1.4347,              0.0091833,              0.0091833,              0.0091833
                     36,                0.94477,                0.86743,                 1.2872,                0.84456,                0.79161,                0.82961,                0.61965,                 1.0468,                0.78544,                 1.4307,              0.0091585,              0.0091585,              0.0091585
                     37,                0.94732,                0.86852,                 1.2873,                0.76196,                0.79549,                0.81881,                0.61367,                 1.0135,                0.79423,                 1.4029,              0.0091337,              0.0091337,              0.0091337
                     38,                0.93125,                0.85671,                 1.2763,                0.80906,                0.81597,                0.82404,                0.62464,                 1.0166,                0.74481,                 1.4082,               0.009109,               0.009109,               0.009109
                     39,                0.91452,                0.82139,                 1.2629,                0.78412,                0.76158,                0.82427,                0.62734,                 1.0272,                0.78234,                 1.4173,              0.0090843,              0.0090843,              0.0090843
                     40,                0.92468,                0.84049,                 1.2673,                0.83828,                0.78449,                0.82154,                 0.6201,                 1.0099,                0.75083,                  1.415,              0.0090595,              0.0090595,              0.0090595
                     41,                0.92031,                 0.8208,                 1.2663,                0.85026,                0.78121,                0.80091,                0.61747,                  1.004,                0.75284,                 1.3898,              0.0090347,              0.0090347,              0.0090347
                     42,                0.91469,                0.82754,                 1.2641,                0.88934,                0.74716,                0.80678,                0.62349,                0.99734,                0.73955,                 1.3899,                0.00901,                0.00901,                0.00901
                     43,                0.91151,                0.82068,                 1.2585,                0.88853,                0.78375,                0.81974,                0.62077,                 1.0328,                0.74568,                 1.4154,              0.0089853,              0.0089853,              0.0089853
                     44,                0.91102,                 0.8231,                 1.2631,                0.85975,                0.76737,                0.80581,                0.59937,                 1.0309,                0.77919,                 1.4109,              0.0089605,              0.0089605,              0.0089605
                     45,                0.90777,                 0.8117,                 1.2538,                 0.7545,                0.80279,                0.81145,                0.61944,                 1.0409,                0.75325,                 1.4291,              0.0089358,              0.0089358,              0.0089358
                     46,                0.89604,                0.78928,                 1.2497,                0.75314,                0.83878,                0.81919,                0.62678,                0.99992,                0.73482,                 1.3988,               0.008911,               0.008911,               0.008911
                     47,                0.89998,                0.79014,                 1.2426,                0.73488,                0.82701,                0.82643,                0.62088,                 1.0049,                0.72879,                 1.3912,              0.0088863,              0.0088863,              0.0088863
                     48,                0.88929,                0.78014,                 1.2442,                0.84703,                0.80374,                0.82574,                0.63709,                 1.0117,                0.71226,                 1.4131,              0.0088615,              0.0088615,              0.0088615
                     49,                0.89737,                0.77453,                 1.2484,                0.81868,                0.80091,                0.84258,                0.62319,                 1.0162,                0.73715,                 1.4051,              0.0088368,              0.0088368,              0.0088368
                     50,                0.88488,                0.76995,                 1.2337,                0.79858,                0.75822,                0.80899,                0.62146,                0.99731,                0.74031,                 1.3814,               0.008812,               0.008812,               0.008812
                     51,                0.87913,                0.77334,                 1.2377,                0.80594,                0.83828,                0.83552,                0.62703,                  1.033,                0.75597,                 1.4224,              0.0087872,              0.0087872,              0.0087872
                     52,                0.87779,                0.76494,                  1.236,                0.80052,                0.83957,                 0.8101,                0.61268,                 1.0048,                0.75184,                 1.4051,              0.0087625,              0.0087625,              0.0087625
                     53,                0.86623,                0.75889,                 1.2247,                0.83847,                0.76747,                0.80718,                0.61088,                 1.0372,                0.74319,                 1.4199,              0.0087378,              0.0087378,              0.0087378
                     54,                0.87701,                0.75375,                  1.232,                0.78097,                 0.8233,                0.78884,                 0.6101,                 1.0146,                0.72903,                  1.401,               0.008713,               0.008713,               0.008713
                     55,                0.87175,                0.75875,                 1.2271,                0.80179,                0.81626,                0.81518,                0.62202,                0.99845,                0.74201,                 1.3816,              0.0086882,              0.0086882,              0.0086882
                     56,                0.87098,                0.74497,                 1.2318,                0.86252,                0.80969,                0.84671,                0.63361,                  1.006,                0.69972,                 1.3951,              0.0086635,              0.0086635,              0.0086635
                     57,                 0.8681,                0.73269,                 1.2272,                0.78248,                0.86618,                0.85608,                0.62764,                0.99911,                0.75791,                 1.3865,              0.0086388,              0.0086388,              0.0086388
                     58,                0.87354,                0.73588,                 1.2244,                0.76027,                0.81981,                0.79358,                0.60345,                0.99967,                0.71303,                 1.3977,               0.008614,               0.008614,               0.008614
                     59,                0.86924,                0.74185,                 1.2274,                0.88264,                0.75288,                0.83499,                0.62085,                 1.0413,                0.71951,                 1.4179,              0.0085893,              0.0085893,              0.0085893
                     60,                0.86191,                0.72755,                 1.2249,                0.75844,                0.72512,                0.76121,                0.59588,                 1.0084,                0.74176,                 1.4086,              0.0085645,              0.0085645,              0.0085645
                     61,                0.85112,                0.72293,                 1.2152,                0.74435,                0.77335,                0.78171,                0.59727,                0.99002,                0.75166,                 1.3794,              0.0085398,              0.0085398,              0.0085398
                     62,                0.84415,                0.71252,                  1.205,                0.81963,                0.77411,                0.81732,                0.62578,                 1.0151,                0.72459,                 1.4082,               0.008515,               0.008515,               0.008515
                     63,                0.84146,                0.71021,                   1.21,                0.81763,                0.85743,                0.82988,                0.62676,                 1.0047,                0.72586,                 1.3906,              0.0084903,              0.0084903,              0.0084903
