                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.88302,                 1.3086,                0.78636,                 1.2318,                0.87987,                0.81379,                0.87814,                0.60566,                0.87537,                0.79928,                0.86222,                0.59852,                 1.0424,                 1.6184,                0.93128,                 1.3876,              0.0017822,              0.0017822,              0.0017822
                     25,                0.85288,                  1.389,                0.77591,                 1.2431,                0.85567,                0.85663,                0.89834,                0.65663,                0.83944,                0.83871,                0.87405,                0.62448,                0.94705,                 1.5256,                0.83267,                 1.3442,              0.0017723,              0.0017723,              0.0017723
                     26,                0.86136,                 1.3432,                0.74881,                 1.2177,                0.80839,                0.85305,                0.88352,                0.64669,                0.79165,                0.83513,                0.85347,                0.58366,                 0.9685,                 1.7698,                0.89042,                 1.3356,              0.0017624,              0.0017624,              0.0017624
                     27,                0.84015,                 1.3158,                0.74678,                  1.217,                0.87075,                0.82095,                0.86233,                0.61061,                 0.8917,                0.76703,                 0.8193,                0.58032,                0.98573,                 1.5752,                0.89067,                 1.3704,              0.0017525,              0.0017525,              0.0017525
                     28,                 0.8275,                 1.3141,                0.73893,                 1.2127,                0.90529,                0.85653,                0.90287,                0.64995,                0.87499,                0.82786,                0.86405,                0.59296,                0.92966,                 1.9209,                0.81954,                 1.3145,              0.0017426,              0.0017426,              0.0017426
                     29,                0.82501,                 1.3086,                0.74372,                 1.2127,                0.90709,                0.80481,                0.89151,                0.63141,                0.89898,                0.80287,                0.87969,                0.61362,                0.95974,                 1.5939,                0.94257,                 1.3463,              0.0017327,              0.0017327,              0.0017327
                     30,                0.80965,                  1.273,                0.71665,                 1.1894,                0.90914,                 0.8172,                0.88772,                0.62348,                0.88849,                0.76703,                0.82979,                0.57885,                0.98849,                 1.7436,                0.84184,                 1.3724,              0.0017228,              0.0017228,              0.0017228
                     31,                0.82431,                 1.2931,                0.75058,                 1.2122,                0.89945,                0.86564,                0.90845,                0.65553,                0.88092,                0.84845,                0.87849,                0.63018,                0.94451,                 1.5079,                0.80314,                 1.3158,              0.0017129,              0.0017129,              0.0017129
                     32,                0.78819,                 1.2702,                0.69533,                 1.1942,                  0.835,                0.83154,                0.86612,                0.62792,                0.84285,                0.80287,                0.85168,                0.61786,                0.95359,                 1.5112,                0.91141,                 1.2954,               0.001703,               0.001703,               0.001703
                     33,                0.78723,                 1.2355,                0.72176,                 1.1967,                0.86266,                0.81045,                 0.8725,                0.63287,                0.89255,                0.73835,                0.82046,                0.58992,                0.95457,                 1.6377,                0.89942,                 1.3251,              0.0016931,              0.0016931,              0.0016931
                     34,                 0.7734,                 1.2292,                0.69558,                 1.1691,                0.87823,                0.84946,                0.90848,                0.68408,                0.86711,                0.83871,                  0.881,                0.65158,                0.87363,                 1.4453,                0.78884,                 1.2555,              0.0016832,              0.0016832,              0.0016832
                     35,                0.76952,                  1.222,                0.68213,                 1.1806,                0.91987,                0.83871,                0.91643,                0.68602,                0.90302,                0.82437,                0.89641,                0.67952,                0.88137,                   1.48,                0.73001,                 1.2764,              0.0016733,              0.0016733,              0.0016733
                     36,                0.75299,                 1.1988,                0.63195,                  1.167,                0.93433,                0.81362,                0.91697,                0.66512,                0.92142,                0.79928,                0.89353,                0.64359,                0.95586,                 1.5492,                 0.8144,                 1.3154,              0.0016634,              0.0016634,              0.0016634
                     37,                0.79439,                 1.2958,                0.71659,                 1.2029,                0.90661,                0.84229,                0.89725,                0.68225,                 0.8879,                0.82437,                0.86903,                0.64906,                0.88546,                  1.519,                0.82112,                 1.2482,              0.0016535,              0.0016535,              0.0016535
                     38,                0.80089,                 1.3026,                0.70165,                 1.1923,                0.91205,                0.81775,                0.90363,                0.67695,                0.90409,                0.81085,                0.88051,                0.64791,                0.87008,                 1.5227,                0.73131,                 1.2412,              0.0016436,              0.0016436,              0.0016436
                     39,                0.78185,                 1.2863,                0.70116,                 1.1688,                0.85967,                0.87829,                0.91182,                0.69564,                0.84851,                0.86022,                0.88625,                0.67065,                0.84107,                 1.4056,                0.75505,                 1.2182,              0.0016337,              0.0016337,              0.0016337
                     40,                0.74647,                 1.2252,                0.68802,                 1.1665,                0.87307,                0.81355,                0.86526,                0.65387,                0.86522,                0.80645,                0.84845,                0.64139,                  0.903,                 1.5106,                0.80776,                 1.2672,              0.0016238,              0.0016238,              0.0016238
                     41,                0.78168,                 1.2813,                0.70509,                 1.1843,                0.92269,                0.85553,                0.92328,                0.69581,                0.91086,                0.84233,                0.90442,                0.67052,                0.87184,                 1.4766,                 0.7347,                 1.2439,              0.0016139,              0.0016139,              0.0016139
                     42,                0.78736,                 1.2535,                0.69137,                 1.1938,                0.90999,                0.83346,                 0.9016,                0.67391,                0.88249,                0.80749,                0.86698,                0.63851,                0.85887,                 1.5007,                0.75598,                 1.2319,               0.001604,               0.001604,               0.001604
                     43,                0.73542,                 1.2127,                0.66142,                 1.1491,                0.92422,                0.83052,                0.89551,                0.67108,                0.90829,                 0.8172,                0.87973,                0.64822,                0.91488,                 1.4649,                0.75282,                   1.31,              0.0015941,              0.0015941,              0.0015941
                     44,                0.76191,                 1.1927,                 0.6668,                 1.1556,                0.89332,                0.87043,                0.90512,                0.69856,                0.90592,                0.82437,                0.88034,                0.67811,                0.81639,                 1.4641,                0.72294,                 1.1945,              0.0015842,              0.0015842,              0.0015842
