                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.73657,                 0.5272,                0.48401,                0.95398,                0.87155,                0.92702,                0.96885,                0.80361,                0.84888,                0.89591,                0.91584,                0.50477,                0.65679,                0.27845,                0.38459,                0.95926,              0.0011077,              0.0011077,              0.0011077
                     26,                0.74021,                0.51315,                0.48278,                0.96041,                 0.9636,                0.94779,                0.98468,                0.83791,                0.94872,                0.92696,                0.95679,                0.51985,                0.60885,                0.29137,                0.36977,                0.94221,              0.0011015,              0.0011015,              0.0011015
                     27,                0.71807,                0.53877,                0.47233,                0.95355,                 0.9682,                0.94366,                0.98652,                0.84328,                0.94732,                0.91297,                0.94468,                0.53086,                0.62755,                0.27834,                0.37285,                 0.9422,              0.0010953,              0.0010953,              0.0010953
                     28,                0.71618,                0.52455,                0.47083,                0.94939,                0.96554,                 0.9444,                0.98318,                0.82278,                0.92347,                0.90378,                0.91715,                0.50048,                0.66122,                0.28191,                 0.3793,                0.96262,              0.0010891,              0.0010891,              0.0010891
                     29,                0.71944,                0.51334,                0.46359,                0.95743,                0.93862,                0.91867,                 0.9763,                0.82069,                0.92223,                0.90496,                0.94929,                0.53018,                0.64577,                0.27529,                 0.3599,                0.95593,              0.0010829,              0.0010829,              0.0010829
                     30,                0.72781,                0.52852,                0.47344,                0.95238,                0.95716,                0.94411,                0.98848,                0.83829,                0.92147,                0.91253,                0.93058,                0.51134,                0.60739,                0.27727,                0.36075,                0.94095,              0.0010768,              0.0010768,              0.0010768
                     31,                0.72234,                0.51325,                0.45967,                0.95479,                0.93829,                0.96124,                0.98478,                 0.8371,                0.91532,                0.93601,                0.94834,                0.51927,                0.61854,                0.27921,                0.35772,                0.94423,              0.0010706,              0.0010706,              0.0010706
                     32,                0.72102,                0.50993,                0.45463,                0.95307,                0.96632,                0.93637,                0.98722,                0.84435,                0.95281,                0.92272,                0.96875,                0.55619,                0.59067,                0.26749,                0.35097,                0.93684,              0.0010644,              0.0010644,              0.0010644
                     33,                0.71083,                0.50622,                0.44852,                0.95107,                 0.9653,                  0.955,                0.98752,                0.84935,                0.95554,                0.93823,                0.96968,                0.55256,                0.58153,                0.26685,                 0.3252,                0.92675,              0.0010582,              0.0010582,              0.0010582
                     34,                0.71215,                 0.5034,                0.45419,                0.95139,                0.97453,                0.95682,                0.98811,                0.85271,                 0.9214,                0.90704,                 0.9113,                 0.5053,                0.57527,                0.26698,                0.32673,                0.92697,               0.001052,               0.001052,               0.001052
